city,country,value
Bath,"United Kingdom","0.379560"
Bedekovcina,Croatia,"0.085513"
Bedford,"United Kingdom","0.196826"
Beersel,Belgium,"0.140940"
Belene,Bulgaria,"0.044000"
Belfast,"United Kingdom","0.223053"
"Beli Manastir",Croatia,"0.063600"
Belisce,Croatia,"0.070720"
Beloslav,Bulgaria,"0.056647"
Benesov,"Czech Republic","0.189580"
"Bergen op Zoom",Netherlands,"0.152913"
Beringen,Belgium,"0.186860"
Berkovitsa,Bulgaria,"0.050300"
Berndorf,Austria,"0.200146"
Beroun,"Czech Republic","0.156313"
Beveren,Belgium,"0.119980"
Bibinje,Croatia,"0.092707"
Bilina,"Czech Republic","0.085093"
"Bilina Kyselka","Czech Republic","0.085707"
Bilzen,Belgium,"0.225620"
Binche,Belgium,"0.146760"
"Biograd na Moru",Croatia,"0.085380"
Birkenhead,"United Kingdom","0.053180"
Birkerod,Denmark,"0.084207"
Birmingham,"United Kingdom","0.115647"
Bischofshofen,Austria,"0.070467"
Bjelovar,Croatia,"0.089787"
Bjerringbro,Denmark,"0.201493"
Blackburn,"United Kingdom","0.133793"
Blackpool,"United Kingdom","0.040587"
Blagoevgrad,Bulgaria,"0.072327"
Blansko,"Czech Republic","0.141840"
Blato,Croatia,"0.085627"
Bludenz,Austria,"0.088553"
Bohumin,"Czech Republic","0.121193"
Bolton,"United Kingdom","0.094613"
Born,Netherlands,"0.220113"
Borovo,Croatia,"0.057020"
Bosnjaci,Croatia,"0.059887"
Botevgrad,Bulgaria,"0.061740"
Bournemouth,"United Kingdom","0.248686"
Bradford,"United Kingdom","0.140420"
"Brandys nad Labem-Stara Boleslav","Czech Republic","0.135866"
Branik,"Czech Republic","0.123940"
Brasschaat,Belgium,"0.153206"
"Braunau am Inn",Austria,"0.198386"
Brecht,Belgium,"0.214273"
Breclav,"Czech Republic","0.138433"
Breda,Netherlands,"0.161580"
Bregenz,Austria,"0.207353"
Brighton,"United Kingdom","0.250606"
Bristol,"United Kingdom","0.325853"
Brno,"Czech Republic","0.121407"
Bronderslev,Denmark,"0.138900"
"Bruck an der Mur",Austria,"0.218473"
Brugge,Belgium,"0.226140"
Bruntal,"Czech Republic","0.156146"
Brussels,Belgium,"0.119626"
Burgas,Bulgaria,"0.055367"
"Byala Slatina",Bulgaria,"0.045107"
Cakovec,Croatia,"0.105033"
Cambridge,"United Kingdom","0.188940"
"Capelle-West",Netherlands,"0.141593"
Cardiff,"United Kingdom","0.125406"
Cepin,Croatia,"0.067313"
Cerna,Croatia,"0.069920"
"Cerny Most","Czech Republic","0.112633"
"Ceska Lipa","Czech Republic","0.109840"
"Ceska Trebova","Czech Republic","0.103873"
"Ceske Budejovice","Czech Republic","0.245640"
"Cesky Tesin","Czech Republic","0.182180"
Charleroi,Belgium,"0.109260"
Charlottenlund,Denmark,"0.033347"
Chatelet,Belgium,"0.104873"
Cheb,"Czech Republic","0.186860"
Chelmsford,"United Kingdom","0.245566"
Cheltenham,"United Kingdom","0.233686"
"Cherven Bryag",Bulgaria,"0.047473"
Chester,"United Kingdom","0.156720"
Chirpan,Bulgaria,"0.070980"
Chomutov,"Czech Republic","0.122307"
Chrudim,"Czech Republic","0.167613"
Colchester,"United Kingdom","0.216060"
Copenhagen,Denmark,"0.028013"
Courcelles,Belgium,"0.108733"
Coventry,"United Kingdom","0.186593"
Crawley,"United Kingdom","0.370320"
Crikvenica,Croatia,"0.067087"
Dalj,Croatia,"0.057780"
Darda,Croatia,"0.069527"
Darlington,"United Kingdom","0.170260"
Daruvar,Croatia,"0.083520"
Decin,"Czech Republic","0.139033"
Deinze,Belgium,"0.291726"
Delft,Netherlands,"0.073200"
Delnice,Croatia,"0.123100"
"Den Helder",Netherlands,"0.047547"
Dendermonde,Belgium,"0.163986"
Derby,"United Kingdom","0.215773"
Deutschlandsberg,Austria,"0.265773"
Deventer,Netherlands,"0.184566"
Devin,Bulgaria,"0.159040"
Devnya,Bulgaria,"0.054720"
Dhali,Cyprus,"0.110073"
Dherinia,Cyprus,"0.050667"
Dhromolaxia,Cyprus,"0.088707"
Diest,Belgium,"0.174353"
Dilbeek,Belgium,"0.127186"
Dimitrovgrad,Bulgaria,"0.065680"
Dobrich,Bulgaria,"0.047813"
Doetinchem,Netherlands,"0.218926"
Dordrecht,Netherlands,"0.151453"
Dornbirn,Austria,"0.184440"
Dragor,Denmark,"0.011180"
Dryanovo,Bulgaria,"0.054133"
Dubrovnik,Croatia,"0.057053"
Dudley,"United Kingdom","0.109873"
Dundee,"United Kingdom","0.143213"
Dupnitsa,Bulgaria,"0.061440"
"Dvur Kralove nad Labem","Czech Republic","0.127520"
Eastbourne,"United Kingdom","0.249600"
Ebeltoft,Denmark,"0.102840"
Ebensee,Austria,"0.155800"
Ebreichsdorf,Austria,"0.117726"
Ede,Netherlands,"0.199200"
Edegem,Belgium,"0.147506"
Edinburgh,"United Kingdom","0.102040"
Eindhoven,Netherlands,"0.234666"
Elkhovo,Bulgaria,"0.067953"
Emba,Cyprus,"0.066347"
Emmen,Netherlands,"0.166033"
Engerwitzdorf,Austria,"0.158433"
Enns,Austria,"0.130520"
Enschede,Netherlands,"0.134173"
Ergates,Cyprus,"0.107000"
Erimi,Cyprus,"0.069493"
Esbjerg,Denmark,"0.098500"
Espergaerde,Denmark,"0.046013"
Etropole,Bulgaria,"0.069060"
Evdhimou,Cyprus,"0.082413"
Evergem,Belgium,"0.226660"
Evrykhou,Cyprus,"0.122227"
Exeter,"United Kingdom","0.353166"
Faaborg,Denmark,"0.093053"
Famagusta,Cyprus,"0.064087"
Farum,Denmark,"0.098993"
Feldkirch,Austria,"0.206313"
"Feldkirchen in Karnten",Austria,"0.153300"
"Finkenstein am Faaker See",Austria,"0.104893"
"Flemalle-Haute",Belgium,"0.171960"
Fleurus,Belgium,"0.117260"
Flong,Denmark,"0.113146"
Fohnsdorf,Austria,"0.140913"
Fredensborg,Denmark,"0.085140"
Fredericia,Denmark,"0.112726"
Frederiksberg,Denmark,"0.033887"
Frederikshavn,Denmark,"0.047280"
Frederikssund,Denmark,"0.113973"
Frederiksvaerk,Denmark,"0.068820"
"Frydek-Mistek","Czech Republic","0.173283"
Gabrovo,Bulgaria,"0.070473"
Galata,Cyprus,"0.115887"
Ganserndorf,Austria,"0.158126"
Garesnica,Croatia,"0.082520"
Gateshead,"United Kingdom","0.108653"
Geel,Belgium,"0.250093"
"General-Toshevo",Bulgaria,"0.053933"
Genk,Belgium,"0.220586"
Gent,Belgium,"0.221573"
Geraardsbergen,Belgium,"0.191606"
"Gerasdorf bei Wien",Austria,"0.092746"
Gillingham,"United Kingdom","0.195133"
Glasgow,"United Kingdom","0.112400"
Glostrup,Denmark,"0.069567"
Gloucester,"United Kingdom","0.264413"
Gmunden,Austria,"0.191873"
Gospic,Croatia,"0.078507"
"Gotse Delchev",Bulgaria,"0.137000"
Gotzis,Austria,"0.197153"
Gouda,Netherlands,"0.228560"
Graz,Austria,"0.206093"
Grenaa,Denmark,"0.070453"
Greve,Denmark,"0.063900"
Grimbergen,Belgium,"0.108713"
Grindsted,Denmark,"0.187446"
Groningen,Netherlands,"0.189926"
"Gross-Enzersdorf",Austria,"0.103693"
Gunja,Croatia,"0.052893"
Haarlem,Netherlands,"0.060760"
Haderslev,Denmark,"0.141993"
Halifax,"United Kingdom","0.132753"
Halle,Belgium,"0.143500"
Hallein,Austria,"0.155600"
Hamme,Belgium,"0.172993"
Hard,Austria,"0.200673"
Hardenberg,Netherlands,"0.164413"
Harelbeke,Belgium,"0.243853"
Harlow,"United Kingdom","0.229406"
Harrogate,"United Kingdom","0.188000"
Hartlepool,"United Kingdom","0.042620"
Haslev,Denmark,"0.135646"
Hasselt,Belgium,"0.177306"
Hastings,"United Kingdom","0.269320"
Havirov,"Czech Republic","0.129233"
"Havlickuv Brod","Czech Republic","0.161946"
Hedensted,Denmark,"0.160733"
Heerhugowaard,Netherlands,"0.161793"
Heerlen,Netherlands,"0.192120"
"Heist-op-den-Berg",Belgium,"0.268666"
Helsinge,Denmark,"0.077947"
Helsingor,Denmark,"0.057427"
"Hemel Hempstead","United Kingdom","0.254293"
Herentals,Belgium,"0.258626"
Herning,Denmark,"0.129913"
Herstal,Belgium,"0.203426"
"High Wycombe","United Kingdom","0.278040"
Hillerod,Denmark,"0.114653"
Hilversum,Netherlands,"0.143546"
Hjorring,Denmark,"0.086067"
Hoboken,Belgium,"0.102053"
Hobro,Denmark,"0.200826"
Hodonin,"Czech Republic","0.142100"
Hohenems,Austria,"0.157727"
Holbaek,Denmark,"0.129653"
Hollabrunn,Austria,"0.119200"
Holstebro,Denmark,"0.108793"
Hoofddorp,Netherlands,"0.089900"
Hoorn,Netherlands,"0.110666"
Horsens,Denmark,"0.160953"
Horsholm,Denmark,"0.070147"
"Hradec Kralove","Czech Republic","0.160486"
Hranice,"Czech Republic","0.180840"
Huddersfield,"United Kingdom","0.134780"
Humlebaek,Denmark,"0.058280"
Hundested,Denmark,"0.033887"
Hvar,Croatia,"0.062667"
Hvidovre,Denmark,"0.039693"
Ieper,Belgium,"0.231026"
Ikast,Denmark,"0.160006"
Ikhtiman,Bulgaria,"0.071693"
Ilok,Croatia,"0.038200"
Imotski,Croatia,"0.058500"
Imst,Austria,"0.113087"
Innsbruck,Austria,"0.110567"
Ipswich,"United Kingdom","0.188406"
Ishoj,Denmark,"0.051913"
Isperikh,Bulgaria,"0.040360"
Ivanec,Croatia,"0.098727"
Ivankovo,Croatia,"0.068127"
Izegem,Belgium,"0.255946"
"Jablonec nad Nisou","Czech Republic","0.154153"
Jastrebarsko,Croatia,"0.071287"
Jicin,"Czech Republic","0.206666"
Jihlava,"Czech Republic","0.173606"
"Jindrichuv Hradec","Czech Republic","0.206240"
Jirkov,"Czech Republic","0.144720"
Josipovac,Croatia,"0.065467"
Judenburg,Austria,"0.144133"
Jyllinge,Denmark,"0.118100"
Kadan,"Czech Republic","0.140400"
Kakopetria,Cyprus,"0.119320"
Kalavasos,Cyprus,"0.076627"
Kalundborg,Denmark,"0.048580"
Kampen,Netherlands,"0.156780"
Kapellen,Belgium,"0.151260"
Kapfenberg,Austria,"0.199353"
Karlovac,Croatia,"0.073400"
Karlovo,Bulgaria,"0.065747"
"Karlovy Vary","Czech Republic","0.100047"
Karnobat,Bulgaria,"0.071300"
Karvina,"Czech Republic","0.136873"
"Kato Dheftera",Cyprus,"0.104533"
"Kato Pyrgos",Cyprus,"0.048967"
Katwijk,Netherlands,"0.220893"
Kavarna,Bulgaria,"0.046373"
Kazanluk,Bulgaria,"0.078540"
Kerkrade,Netherlands,"0.196973"
Kharmanli,Bulgaria,"0.057333"
Khaskovo,Bulgaria,"0.056667"
Khisarya,Bulgaria,"0.066940"
Khlorakas,Cyprus,"0.054733"
"Kingston upon Hull","United Kingdom","0.118673"
Kissonerga,Cyprus,"0.063873"
Kiti,Cyprus,"0.075060"
Kitzbuhel,Austria,"0.049640"
Kladno,"Czech Republic","0.132946"
Klagenfurt,Austria,"0.121700"
"Klasterec nad Ohri","Czech Republic","0.126220"
Klatovy,"Czech Republic","0.261826"
Klirou,Cyprus,"0.102733"
Klosterneuburg,Austria,"0.095473"
Knin,Croatia,"0.071420"
Knittelfeld,Austria,"0.175093"
"Knokke-Heist",Belgium,"0.082233"
Koflach,Austria,"0.261033"
Koge,Denmark,"0.098526"
"Kokkini Trimithia",Cyprus,"0.113060"
Kolding,Denmark,"0.159160"
Kolin,"Czech Republic","0.274780"
Kolossi,Cyprus,"0.067667"
"Kongens Lyngby",Denmark,"0.043860"
Konia,Cyprus,"0.062647"
Kophinou,Cyprus,"0.089333"
Koprivnica,Croatia,"0.081640"
Koprivnice,"Czech Republic","0.190486"
Korneuburg,Austria,"0.108406"
Kornos,Cyprus,"0.113460"
Korsor,Denmark,"0.057747"
Kortrijk,Belgium,"0.208806"
Kostinbrod,Bulgaria,"0.057553"
Kouklia,Cyprus,"0.074967"
Kozloduy,Bulgaria,"0.040500"
"Kralupy nad Vltavou","Czech Republic","0.127353"
Krapina,Croatia,"0.099453"
"Krems an der Donau",Austria,"0.156353"
Krichim,Bulgaria,"0.069687"
Krizevci,Croatia,"0.082707"
Krnov,"Czech Republic","0.190700"
Kromeriz,"Czech Republic","0.141093"
Kubrat,Bulgaria,"0.040493"
Kufstein,Austria,"0.151133"
Kutina,Croatia,"0.080000"
"Kutna Hora","Czech Republic","0.292746"
Kyperounda,Cyprus,"0.120260"
Kyrenia,Cyprus,"0.042033"
Kyustendil,Bulgaria,"0.071027"
"La Louviere",Belgium,"0.146266"
Laakirchen,Austria,"0.195486"
Labin,Croatia,"0.069453"
Lanaken,Belgium,"0.238866"
Lapithos,Cyprus,"0.048767"
Larnaca,Cyprus,"0.087273"
Lauterach,Austria,"0.198960"
Leeds,"United Kingdom","0.121000"
Leeuwarden,Netherlands,"0.214060"
Lefka,Cyprus,"0.097740"
Lefkoniko,Cyprus,"0.087987"
Leicester,"United Kingdom","0.203973"
Leiden,Netherlands,"0.103580"
Lelystad,Netherlands,"0.051473"
Lemvig,Denmark,"0.088453"
Leoben,Austria,"0.191953"
Leonarisso,Cyprus,"0.043687"
Leonding,Austria,"0.132866"
Lepoglava,Croatia,"0.101700"
Letnany,"Czech Republic","0.124820"
Leuven,Belgium,"0.161346"
Levski,Bulgaria,"0.050740"
Liben,"Czech Republic","0.116093"
Liberec,"Czech Republic","0.155253"
Liege,Belgium,"0.182773"
Lienz,Austria,"0.055493"
Lillerod,Denmark,"0.122773"
Limassol,Cyprus,"0.064753"
Lincoln,"United Kingdom","0.161293"
Linz,Austria,"0.136480"
Liopetri,Cyprus,"0.058333"
Lisburn,"United Kingdom","0.262760"
Litomerice,"Czech Republic","0.093940"
Litvinov,"Czech Republic","0.111767"
Livadhia,Cyprus,"0.107860"
Liverpool,"United Kingdom","0.058733"
Lokeren,Belgium,"0.201073"
Lom,Bulgaria,"0.052300"
Lommel,Belgium,"0.223453"
London,"United Kingdom","0.078460"
"Londonderry County Borough","United Kingdom","0.174653"
Louny,"Czech Republic","0.110500"
"Louvain-la-Neuve",Belgium,"0.142533"
Lovech,Bulgaria,"0.053160"
Ludbreg,Croatia,"0.078467"
Lukovit,Bulgaria,"0.044900"
Lustenau,Austria,"0.182793"
Luton,"United Kingdom","0.237926"
Lyaskovets,Bulgaria,"0.055193"
Lympia,Cyprus,"0.116833"
Lystrup,Denmark,"0.116313"
Lythrodhondas,Cyprus,"0.105440"
Lyubimets,Bulgaria,"0.056480"
Maaseik,Belgium,"0.236193"
Maasmechelen,Belgium,"0.222620"
Maastricht,Netherlands,"0.212666"
Maidstone,"United Kingdom","0.305640"
Makarska,Croatia,"0.049767"
Malarm,Croatia,"0.056607"
Maldegem,Belgium,"0.220253"
Malov,Denmark,"0.101387"
Mammari,Cyprus,"0.101926"
Manage,Belgium,"0.144653"
Manchester,"United Kingdom","0.071007"
Marchtrenk,Austria,"0.131386"
"Maria Enzersdorf",Austria,"0.125133"
Matulji,Croatia,"0.071340"
Mazotos,Cyprus,"0.071593"
Mechelen,Belgium,"0.156900"
Melnik,"Czech Republic","0.163120"
Menen,Belgium,"0.169140"
Meneou,Cyprus,"0.076167"
Meniko,Cyprus,"0.117933"
Merelbeke,Belgium,"0.228513"
Mesoyi,Cyprus,"0.083147"
Metkovic,Croatia,"0.107787"
Mezdra,Bulgaria,"0.048080"
Middelburg,Netherlands,"0.098200"
Middelfart,Denmark,"0.089760"
Middlesbrough,"United Kingdom","0.092807"
"Milton Keynes","United Kingdom","0.219546"
Mistelbach,Austria,"0.122273"
Mitsero,Cyprus,"0.114667"
"Mlada Boleslav","Czech Republic","0.136146"
Modling,Austria,"0.110493"
Modrany,"Czech Republic","0.134680"
Mol,Belgium,"0.215700"
Mons,Belgium,"0.186646"
Montana,Bulgaria,"0.043687"
Morphou,Cyprus,"0.099840"
Mortsel,Belgium,"0.147553"
Mosphiloti,Cyprus,"0.110253"
Most,"Czech Republic","0.094120"
Mouscron,Belgium,"0.142753"
Moutayiaka,Cyprus,"0.068607"
Murzzuschlag,Austria,"0.189460"
Nachod,"Czech Republic","0.114006"
Naestved,Denmark,"0.117673"
Nakskov,Denmark,"0.059460"
Namur,Belgium,"0.119073"
Nasice,Croatia,"0.067833"
Nedelisce,Croatia,"0.104340"
Neratovice,"Czech Republic","0.161760"
"Neu-Guntramsdorf",Austria,"0.112853"
Neunkirchen,Austria,"0.298746"
"Newcastle upon Tyne","United Kingdom","0.109300"
Newport,"United Kingdom","0.186440"
Nicosia,Cyprus,"0.101746"
Nieuwegein,Netherlands,"0.226140"
Nijmegen,Netherlands,"0.173253"
Ninove,Belgium,"0.169506"
Niva,Denmark,"0.058660"
Nivelles,Belgium,"0.131120"
Nordborg,Denmark,"0.078947"
Northampton,"United Kingdom","0.232973"
Norwich,"United Kingdom","0.197960"
Nottingham,"United Kingdom","0.139540"
"Nova Gradiska",Croatia,"0.070887"
"Nova Zagora",Bulgaria,"0.077133"
"Novi Pazar",Bulgaria,"0.047727"
Novska,Croatia,"0.070560"
"Novy Jicin","Czech Republic","0.202706"
Nustar,Croatia,"0.062827"
Nyborg,Denmark,"0.075780"
"Nykobing Falster",Denmark,"0.075253"
"Nykobing Mors",Denmark,"0.098626"
Odder,Denmark,"0.097080"
Odense,Denmark,"0.110173"
Ogulin,Croatia,"0.084860"
Oldham,"United Kingdom","0.080280"
Olomouc,"Czech Republic","0.100533"
Omis,Croatia,"0.086213"
Omurtag,Bulgaria,"0.053960"
Oostende,Belgium,"0.106820"
Oosterhout,Netherlands,"0.176026"
Opatija,Croatia,"0.068347"
Opava,"Czech Republic","0.222113"
Orahovica,Croatia,"0.069987"
Orlova,"Czech Republic","0.119973"
Orounda,Cyprus,"0.120406"
Osijek,Croatia,"0.065513"
Oss,Netherlands,"0.199106"
Ostrava,"Czech Republic","0.148800"
Ostrov,"Czech Republic","0.126467"
Otocac,Croatia,"0.085727"
Otok,Croatia,"0.058327"
Otrokovice,"Czech Republic","0.158280"
Oudenaarde,Belgium,"0.256740"
Oupeye,Belgium,"0.217700"
Overijse,Belgium,"0.126393"
Oxford,"United Kingdom","0.277546"
Pakhna,Cyprus,"0.124393"
Pakrac,Croatia,"0.078900"
Palodhia,Cyprus,"0.086287"
Panagyurishte,Bulgaria,"0.066087"
"Pano Dheftera",Cyprus,"0.109507"
"Pano Kividhes",Cyprus,"0.114620"
"Pano Lefkara",Cyprus,"0.100167"
"Pano Polemidhia",Cyprus,"0.076960"
Paphos,Cyprus,"0.050033"
Paralimni,Cyprus,"0.042667"
Pardubice,"Czech Republic","0.181473"
Parekklisha,Cyprus,"0.064407"
Pavlikeni,Bulgaria,"0.054887"
Pazardzhik,Bulgaria,"0.052713"
Pazin,Croatia,"0.085707"
Pelendria,Cyprus,"0.102507"
Pelhrimov,"Czech Republic","0.189926"
Pera,Cyprus,"0.103053"
Perchtoldsdorf,Austria,"0.116160"
Peristerona,Cyprus,"0.113620"
Perivolia,Cyprus,"0.064487"
Pernik,Bulgaria,"0.049900"
Peshtera,Bulgaria,"0.086253"
Peterborough,"United Kingdom","0.172653"
Petrich,Bulgaria,"0.088480"
Petrinja,Croatia,"0.063393"
Peyia,Cyprus,"0.061960"
Phrenaros,Cyprus,"0.060327"
Pirdop,Bulgaria,"0.073600"
Pisek,"Czech Republic","0.278206"
Pissouri,Cyprus,"0.070533"
Pitomaca,Croatia,"0.079053"
Pleternica,Croatia,"0.071620"
Pleven,Bulgaria,"0.047107"
Plovdiv,Bulgaria,"0.046847"
Plymouth,"United Kingdom","0.218533"
Plzen,"Czech Republic","0.216820"
Podstrana,Croatia,"0.061320"
Podvinje,Croatia,"0.063800"
Polemi,Cyprus,"0.100440"
Polis,Cyprus,"0.058887"
Pomorie,Bulgaria,"0.031453"
Poole,"United Kingdom","0.256440"
Popovaca,Croatia,"0.096820"
Popovo,Bulgaria,"0.046240"
Porec,Croatia,"0.050347"
Portsmouth,"United Kingdom","0.238046"
Pozega,Croatia,"0.076453"
Praha,"Czech Republic","0.107793"
Preko,Croatia,"0.065860"
Prelog,Croatia,"0.086087"
Prerov,"Czech Republic","0.122840"
Preston,"United Kingdom","0.140073"
Pribram,"Czech Republic","0.236153"
Privlaka,Croatia,"0.060487"
Prosek,"Czech Republic","0.110833"
Prostejov,"Czech Republic","0.133733"
Protaras,Cyprus,"0.021287"
Provadiya,Bulgaria,"0.053967"
Psevdhas,Cyprus,"0.107100"
Psomolophou,Cyprus,"0.105267"
Pula,Croatia,"0.071427"
Purkersdorf,Austria,"0.110687"
Purmerend,Netherlands,"0.132720"
Pyla,Cyprus,"0.108980"
Pyrgos,Cyprus,"0.062467"
Radnevo,Bulgaria,"0.071007"
Radomir,Bulgaria,"0.052280"
Rakitovo,Bulgaria,"0.119533"
Rakovnik,"Czech Republic","0.138153"
Rakovski,Bulgaria,"0.064520"
Randers,Denmark,"0.202340"
Rankweil,Austria,"0.189320"
Razgrad,Bulgaria,"0.054093"
Razlog,Bulgaria,"0.138507"
Reading,"United Kingdom","0.316520"
Ribe,Denmark,"0.167293"
"Ried im Innkreis",Austria,"0.198273"
Rijeka,Croatia,"0.063640"
Rijswijk,Netherlands,"0.064667"
Ringkobing,Denmark,"0.105920"
Ringsted,Denmark,"0.151140"
Rizokarpaso,Cyprus,"0.026860"
Rochdale,"United Kingdom","0.089167"
Rodovre,Denmark,"0.050087"
Roeselare,Belgium,"0.237700"
Ronne,Denmark,"0.028787"
Ronse,Belgium,"0.234420"
Roosendaal,Netherlands,"0.161600"
Roskilde,Denmark,"0.129626"
Rotherham,"United Kingdom","0.081000"
Rotterdam,Netherlands,"0.110693"
Rovinj,Croatia,"0.051493"
"Roznov pod Radhostem","Czech Republic","0.207233"
Rum,Austria,"0.084100"
Ruse,Bulgaria,"0.035653"
"Saalfelden am Steinernen Meer",Austria,"0.068380"
Saeby,Denmark,"0.055833"
"Saint Albans","United Kingdom","0.246960"
"Saint Helens","United Kingdom","0.090553"
"Saint-Ghislain",Belgium,"0.195000"
"Saint-Nicolas",Belgium,"0.173260"
Salzburg,Austria,"0.232866"
Samobor,Croatia,"0.075213"
Samokov,Bulgaria,"0.105547"
Sandanski,Bulgaria,"0.113847"
"Sankt Andra",Austria,"0.137286"
"Sankt Johann im Pongau",Austria,"0.050507"
"Sankt Polten",Austria,"0.139266"
"Sankt Valentin",Austria,"0.133693"
"Sankt Veit an der Glan",Austria,"0.202120"
Schiedam,Netherlands,"0.094033"
Schoten,Belgium,"0.182626"
Schwaz,Austria,"0.097853"
Schwechat,Austria,"0.093046"
"Seekirchen Markt",Austria,"0.274013"
Senj,Croatia,"0.051473"
Septemvri,Bulgaria,"0.069567"
Seraing,Belgium,"0.178273"
Sesvete,Croatia,"0.066413"
Sevlievo,Bulgaria,"0.036667"
Sheffield,"United Kingdom","0.133540"
Shumen,Bulgaria,"0.059707"
Sibenik,Croatia,"0.087327"
Sierning,Austria,"0.137400"
Silistra,Bulgaria,"0.055033"
Silkeborg,Denmark,"0.207260"
Simeonovgrad,Bulgaria,"0.060393"
Sinj,Croatia,"0.063960"
"Sint-Niklaas",Belgium,"0.166453"
"Sint-Pieters-Leeuw",Belgium,"0.146093"
"Sint-Truiden",Belgium,"0.156040"
Sisak,Croatia,"0.063340"
Sittard,Netherlands,"0.205260"
Skagen,Denmark,"0.006367"
Skanderborg,Denmark,"0.176893"
Skive,Denmark,"0.138400"
Slagelse,Denmark,"0.155480"
Slatina,Croatia,"0.066607"
"Slavonski Brod",Croatia,"0.064780"
Sliven,Bulgaria,"0.072233"
Slivnitsa,Bulgaria,"0.053460"
Slough,"United Kingdom","0.277620"
Smolyan,Bulgaria,"0.164700"
Smorumnedre,Denmark,"0.100533"
Sofia,Bulgaria,"0.056533"
Soignies,Belgium,"0.179773"
Sokolov,"Czech Republic","0.114653"
Solihull,"United Kingdom","0.155453"
Solin,Croatia,"0.049273"
"Solrod Strand",Denmark,"0.069953"
Sonderborg,Denmark,"0.072813"
Soro,Denmark,"0.159913"
Sotira,Cyprus,"0.092653"
"South Shields","United Kingdom","0.023807"
Southampton,"United Kingdom","0.316806"
"Southend-on-Sea","United Kingdom","0.174887"
Southport,"United Kingdom","0.058840"
Spijkenisse,Netherlands,"0.090733"
"Spittal an der Drau",Austria,"0.113953"
Split,Croatia,"0.051027"
Sracinec,Croatia,"0.106033"
Sredets,Bulgaria,"0.077340"
Stamboliyski,Bulgaria,"0.051500"
"Stara Zagora",Bulgaria,"0.067513"
"Stary Bohumin","Czech Republic","0.141793"
Stenlose,Denmark,"0.092247"
Stevenage,"United Kingdom","0.242520"
Steyr,Austria,"0.147486"
Stobrec,Croatia,"0.055653"
Stockerau,Austria,"0.111253"
Stockport,"United Kingdom","0.101487"
"Stockton-on-Tees","United Kingdom","0.122860"
"Stoke-on-Trent","United Kingdom","0.193606"
Strakonice,"Czech Republic","0.249920"
Struer,Denmark,"0.090413"
Sumperk,"Czech Republic","0.089033"
Sunderland,"United Kingdom","0.029640"
"Sutton Coldfield","United Kingdom","0.114860"
Svendborg,Denmark,"0.103980"
Svilengrad,Bulgaria,"0.059400"
Svishtov,Bulgaria,"0.039233"
Svitavy,"Czech Republic","0.107627"
Svoge,Bulgaria,"0.077440"
Swansea,"United Kingdom","0.148693"
Swindon,"United Kingdom","0.330466"
Taastrup,Denmark,"0.087733"
Tabor,"Czech Republic","0.237186"
Tala,Cyprus,"0.079107"
Tarnby,Denmark,"0.016160"
Telfs,Austria,"0.136233"
Temse,Belgium,"0.125053"
Tenja,Croatia,"0.062133"
Teplice,"Czech Republic","0.110587"
Ternitz,Austria,"0.314540"
Tersephanou,Cyprus,"0.081847"
Teteven,Bulgaria,"0.065560"
