city,country,value
Groningen,Netherlands,"0.025333"
"Gross-Enzersdorf",Austria,"0.069333"
Gunja,Croatia,"0.005333"
Haarlem,Netherlands,"0.171333"
Haderslev,Denmark,"0.009333"
Halifax,"United Kingdom","0.186667"
Halle,Belgium,"0.156000"
Hallein,Austria,"0.014000"
Hamme,Belgium,"0.073333"
Hard,Austria,"0.009333"
Hardenberg,Netherlands,"0.009333"
Harelbeke,Belgium,"0.115333"
Harlow,"United Kingdom","0.069333"
Harrogate,"United Kingdom","0.036667"
Hartlepool,"United Kingdom","0.121333"
Haslev,Denmark,"0.036000"
Hasselt,Belgium,"0.084000"
Hastings,"United Kingdom","0.016000"
Havirov,"Czech Republic","0.074000"
"Havlickuv Brod","Czech Republic","0.012000"
Hedensted,Denmark,"0.010667"
Heerhugowaard,Netherlands,"0.054667"
Heerlen,Netherlands,"0.103333"
"Heist-op-den-Berg",Belgium,"0.036000"
Helsinge,Denmark,"0.015333"
Helsingor,Denmark,"0.058667"
"Hemel Hempstead","United Kingdom","0.178000"
Herentals,Belgium,"0.072667"
Herning,Denmark,"0.014667"
Herstal,Belgium,"0.111333"
"High Wycombe","United Kingdom","0.174000"
Hillerod,Denmark,"0.035333"
Hilversum,Netherlands,"0.092000"
Hjorring,Denmark,"0.010000"
Hoboken,Belgium,"0.221333"
Hobro,Denmark,"0.005333"
Hodonin,"Czech Republic","0.010000"
Hohenems,Austria,"0.014667"
Holbaek,Denmark,"0.015333"
Hollabrunn,Austria,"0.000000"
Holstebro,Denmark,"0.013333"
Hoofddorp,Netherlands,"0.240000"
Hoorn,Netherlands,"0.030000"
Horsens,Denmark,"0.008667"
Horsholm,Denmark,"0.078667"
"Hradec Kralove","Czech Republic","0.022000"
Hranice,"Czech Republic","0.008000"
Huddersfield,"United Kingdom","0.222667"
Humlebaek,Denmark,"0.046000"
Hundested,Denmark,"0.018667"
Hvar,Croatia,"0.000667"
Hvidovre,Denmark,"0.220667"
Ieper,Belgium,"0.026667"
Ikast,Denmark,"0.010000"
Ikhtiman,Bulgaria,"0.011333"
Ilok,Croatia,"0.000000"
Imotski,Croatia,"0.000000"
Imst,Austria,"0.004000"
Innsbruck,Austria,"0.020000"
Ipswich,"United Kingdom","0.074000"
Ishoj,Denmark,"0.249333"
Isperikh,Bulgaria,"0.000000"
Ivanec,Croatia,"0.000000"
Ivankovo,Croatia,"0.000667"
Izegem,Belgium,"0.086667"
"Jablonec nad Nisou","Czech Republic","0.039333"
Jastrebarsko,Croatia,"0.004000"
Jicin,"Czech Republic","0.008000"
Jihlava,"Czech Republic","0.014000"
"Jindrichuv Hradec","Czech Republic","0.004000"
Jirkov,"Czech Republic","0.063333"
Josipovac,Croatia,"0.016667"
Judenburg,Austria,"0.015333"
Jyllinge,Denmark,"0.044000"
Kadan,"Czech Republic","0.038667"
Kakopetria,Cyprus,"0.040000"
Kalavasos,Cyprus,"0.036667"
Kalundborg,Denmark,"0.006667"
Kampen,Netherlands,"0.057333"
Kapellen,Belgium,"0.173333"
Kapfenberg,Austria,"0.004667"
Karlovac,Croatia,"0.004000"
Karlovo,Bulgaria,"0.025333"
"Karlovy Vary","Czech Republic","0.023333"
Karnobat,Bulgaria,"0.036000"
Karvina,"Czech Republic","0.062000"
"Kato Dheftera",Cyprus,"0.125333"
"Kato Pyrgos",Cyprus,"0.010000"
Katwijk,Netherlands,"0.062667"
Kavarna,Bulgaria,"0.000000"
Kazanluk,Bulgaria,"0.032667"
Kerkrade,Netherlands,"0.098667"
Kharmanli,Bulgaria,"0.042667"
Khaskovo,Bulgaria,"0.048667"
Khisarya,Bulgaria,"0.040667"
Khlorakas,Cyprus,"0.034667"
"Kingston upon Hull","United Kingdom","0.116667"
Kissonerga,Cyprus,"0.034667"
Kiti,Cyprus,"0.071333"
Kitzbuhel,Austria,"0.002667"
Kladno,"Czech Republic","0.015333"
Klagenfurt,Austria,"0.015333"
"Klasterec nad Ohri","Czech Republic","0.026667"
Klatovy,"Czech Republic","0.009333"
Klirou,Cyprus,"0.132000"
Klosterneuburg,Austria,"0.100000"
Knin,Croatia,"0.000000"
Knittelfeld,Austria,"0.018667"
"Knokke-Heist",Belgium,"0.027333"
Koflach,Austria,"0.010000"
Koge,Denmark,"0.093333"
"Kokkini Trimithia",Cyprus,"0.143333"
Kolding,Denmark,"0.014000"
Kolin,"Czech Republic","0.026667"
Kolossi,Cyprus,"0.080000"
"Kongens Lyngby",Denmark,"0.202000"
Konia,Cyprus,"0.034667"
Kophinou,Cyprus,"0.048000"
Koprivnica,Croatia,"0.004667"
Koprivnice,"Czech Republic","0.037333"
Korneuburg,Austria,"0.073333"
Kornos,Cyprus,"0.086667"
Korsor,Denmark,"0.011333"
Kortrijk,Belgium,"0.156667"
Kostinbrod,Bulgaria,"0.157333"
Kouklia,Cyprus,"0.034667"
Kozloduy,Bulgaria,"0.011333"
"Kralupy nad Vltavou","Czech Republic","0.048667"
Krapina,Croatia,"0.006000"
"Krems an der Donau",Austria,"0.003333"
Krichim,Bulgaria,"0.056000"
Krizevci,Croatia,"0.001333"
Krnov,"Czech Republic","0.013333"
Kromeriz,"Czech Republic","0.022000"
Kubrat,Bulgaria,"0.001333"
Kufstein,Austria,"0.006667"
Kutina,Croatia,"0.000000"
"Kutna Hora","Czech Republic","0.018000"
Kyperounda,Cyprus,"0.052000"
Kyrenia,Cyprus,"0.050000"
Kyustendil,Bulgaria,"0.018667"
"La Louviere",Belgium,"0.067333"
Laakirchen,Austria,"0.004667"
Labin,Croatia,"0.003333"
Lanaken,Belgium,"0.076000"
Lapithos,Cyprus,"0.046000"
Larnaca,Cyprus,"0.076000"
Lauterach,Austria,"0.013333"
Leeds,"United Kingdom","0.274000"
Leeuwarden,Netherlands,"0.018667"
Lefka,Cyprus,"0.014000"
Lefkoniko,Cyprus,"0.053333"
Leicester,"United Kingdom","0.135333"
Leiden,Netherlands,"0.190667"
Lelystad,Netherlands,"0.029333"
Lemvig,Denmark,"0.006000"
Leoben,Austria,"0.012000"
Leonarisso,Cyprus,"0.010667"
Leonding,Austria,"0.031333"
Lepoglava,Croatia,"0.003333"
Letnany,"Czech Republic","0.166667"
Leuven,Belgium,"0.052000"
Levski,Bulgaria,"0.000000"
Liben,"Czech Republic","0.166000"
Liberec,"Czech Republic","0.024667"
Liege,Belgium,"0.120667"
Lienz,Austria,"0.010000"
Lillerod,Denmark,"0.082000"
Limassol,Cyprus,"0.079333"
Lincoln,"United Kingdom","0.052667"
Linz,Austria,"0.028667"
Liopetri,Cyprus,"0.059333"
Lisburn,"United Kingdom","0.096000"
Litomerice,"Czech Republic","0.021333"
Litvinov,"Czech Republic","0.056000"
Livadhia,Cyprus,"0.088000"
Liverpool,"United Kingdom","0.199333"
Lokeren,Belgium,"0.047333"
Lom,Bulgaria,"0.009333"
Lommel,Belgium,"0.107333"
London,"United Kingdom","0.726000"
"Londonderry County Borough","United Kingdom","0.022667"
Louny,"Czech Republic","0.042000"
"Louvain-la-Neuve",Belgium,"0.056667"
Lovech,Bulgaria,"0.004667"
Ludbreg,Croatia,"0.000667"
Lukovit,Bulgaria,"0.000000"
Lustenau,Austria,"0.018667"
Luton,"United Kingdom","0.144000"
Lyaskovets,Bulgaria,"0.003333"
Lympia,Cyprus,"0.153333"
Lystrup,Denmark,"0.048667"
Lythrodhondas,Cyprus,"0.133333"
Lyubimets,Bulgaria,"0.008000"
Maaseik,Belgium,"0.082000"
Maasmechelen,Belgium,"0.114667"
Maastricht,Netherlands,"0.111333"
Maidstone,"United Kingdom","0.116000"
Makarska,Croatia,"0.000000"
Malarm,Croatia,"0.070000"
Maldegem,Belgium,"0.013333"
Malov,Denmark,"0.170000"
Mammari,Cyprus,"0.116667"
Manage,Belgium,"0.052000"
Manchester,"United Kingdom","0.384000"
Marchtrenk,Austria,"0.032667"
"Maria Enzersdorf",Austria,"0.161333"
Matulji,Croatia,"0.016000"
Mazotos,Cyprus,"0.056667"
Mechelen,Belgium,"0.156667"
Melnik,"Czech Republic","0.012667"
Menen,Belgium,"0.170000"
Meneou,Cyprus,"0.069333"
Meniko,Cyprus,"0.111333"
Merelbeke,Belgium,"0.093333"
Mesoyi,Cyprus,"0.032000"
Metkovic,Croatia,"0.000000"
Mezdra,Bulgaria,"0.002667"
Middelfart,Denmark,"0.046000"
Middlesbrough,"United Kingdom","0.162000"
"Milton Keynes","United Kingdom","0.150000"
Mistelbach,Austria,"0.004000"
Mitsero,Cyprus,"0.052000"
"Mlada Boleslav","Czech Republic","0.006667"
Modling,Austria,"0.160667"
Modrany,"Czech Republic","0.165333"
Mol,Belgium,"0.099333"
Mons,Belgium,"0.036667"
Montana,Bulgaria,"0.010667"
Morphou,Cyprus,"0.014000"
Mortsel,Belgium,"0.212667"
Mosphiloti,Cyprus,"0.160000"
Most,"Czech Republic","0.053333"
Mouscron,Belgium,"0.214000"
Moutayiaka,Cyprus,"0.068000"
Murzzuschlag,Austria,"0.001333"
Nachod,"Czech Republic","0.005333"
Naestved,Denmark,"0.022000"
Nakskov,Denmark,"0.017333"
Namur,Belgium,"0.021333"
Nasice,Croatia,"0.000000"
Nedelisce,Croatia,"0.006667"
Neratovice,"Czech Republic","0.020667"
"Neu-Guntramsdorf",Austria,"0.127333"
Neunkirchen,Austria,"0.007333"
"Newcastle upon Tyne","United Kingdom","0.238000"
Newport,"United Kingdom","0.078667"
Nicosia,Cyprus,"0.161333"
Nieuwegein,Netherlands,"0.089333"
Nijmegen,Netherlands,"0.101333"
Ninove,Belgium,"0.050667"
Niva,Denmark,"0.042667"
Nivelles,Belgium,"0.092000"
Nordborg,Denmark,"0.004000"
Northampton,"United Kingdom","0.072667"
Norwich,"United Kingdom","0.080000"
Nottingham,"United Kingdom","0.217333"
"Nova Gradiska",Croatia,"0.003333"
"Nova Zagora",Bulgaria,"0.047333"
"Novi Pazar",Bulgaria,"0.000000"
Novska,Croatia,"0.001333"
"Novy Jicin","Czech Republic","0.020000"
Nustar,Croatia,"0.004000"
Nyborg,Denmark,"0.015333"
"Nykobing Falster",Denmark,"0.010667"
"Nykobing Mors",Denmark,"0.003333"
Odder,Denmark,"0.026000"
Odense,Denmark,"0.037333"
Ogulin,Croatia,"0.003333"
Oldham,"United Kingdom","0.235333"
Olomouc,"Czech Republic","0.046000"
Omis,Croatia,"0.000000"
Omurtag,Bulgaria,"0.000000"
Oostende,Belgium,"0.019333"
Oosterhout,Netherlands,"0.122667"
Opatija,Croatia,"0.002000"
Opava,"Czech Republic","0.016000"
Orahovica,Croatia,"0.000000"
Orlova,"Czech Republic","0.072000"
Orounda,Cyprus,"0.058000"
Osijek,Croatia,"0.022667"
Oss,Netherlands,"0.087333"
Ostrava,"Czech Republic","0.066000"
Ostrov,"Czech Republic","0.013333"
Otocac,Croatia,"0.000000"
Otok,Croatia,"0.001333"
Otrokovice,"Czech Republic","0.016667"
Oudenaarde,Belgium,"0.060667"
Oupeye,Belgium,"0.121333"
Overijse,Belgium,"0.168000"
Oxford,"United Kingdom","0.062667"
Pakhna,Cyprus,"0.029333"
Pakrac,Croatia,"0.005333"
Palodhia,Cyprus,"0.084000"
Panagyurishte,Bulgaria,"0.044667"
"Pano Dheftera",Cyprus,"0.150667"
"Pano Kividhes",Cyprus,"0.037333"
"Pano Lefkara",Cyprus,"0.072667"
"Pano Polemidhia",Cyprus,"0.062667"
Paphos,Cyprus,"0.043333"
Paralimni,Cyprus,"0.038000"
Pardubice,"Czech Republic","0.036667"
Parekklisha,Cyprus,"0.065333"
Pavlikeni,Bulgaria,"0.000667"
Pazardzhik,Bulgaria,"0.039333"
Pazin,Croatia,"0.000667"
Pelendria,Cyprus,"0.030000"
Pelhrimov,"Czech Republic","0.006667"
Pera,Cyprus,"0.164667"
Perchtoldsdorf,Austria,"0.155333"
Peristerona,Cyprus,"0.042667"
Perivolia,Cyprus,"0.065333"
Pernik,Bulgaria,"0.074667"
Peshtera,Bulgaria,"0.052667"
Peterborough,"United Kingdom","0.100000"
Petrich,Bulgaria,"0.020667"
Petrinja,Croatia,"0.002667"
Peyia,Cyprus,"0.042667"
Phrenaros,Cyprus,"0.064667"
Pirdop,Bulgaria,"0.022000"
Pisek,"Czech Republic","0.004667"
Pissouri,Cyprus,"0.019333"
Pitomaca,Croatia,"0.006667"
Pleternica,Croatia,"0.005333"
Pleven,Bulgaria,"0.014000"
Plovdiv,Bulgaria,"0.128667"
Plymouth,"United Kingdom","0.050000"
Plzen,"Czech Republic","0.016000"
Podstrana,Croatia,"0.006000"
Podvinje,Croatia,"0.003333"
Polemi,Cyprus,"0.035333"
Polis,Cyprus,"0.013333"
Pomorie,Bulgaria,"0.040667"
Poole,"United Kingdom","0.090667"
Popovaca,Croatia,"0.000000"
Popovo,Bulgaria,"0.002000"
Porec,Croatia,"0.000000"
Portsmouth,"United Kingdom","0.125333"
Pozega,Croatia,"0.004667"
Praha,"Czech Republic","0.152667"
Preko,Croatia,"0.002667"
Prelog,Croatia,"0.000000"
Prerov,"Czech Republic","0.024667"
Preston,"United Kingdom","0.069333"
Pribram,"Czech Republic","0.005333"
Privlaka,Croatia,"0.003333"
Prosek,"Czech Republic","0.167333"
Prostejov,"Czech Republic","0.054000"
Protaras,Cyprus,"0.045333"
Provadiya,Bulgaria,"0.004000"
Psevdhas,Cyprus,"0.170000"
Psomolophou,Cyprus,"0.160667"
Pula,Croatia,"0.002667"
Purkersdorf,Austria,"0.090667"
Purmerend,Netherlands,"0.105333"
Pyla,Cyprus,"0.086667"
Pyrgos,Cyprus,"0.063333"
Radnevo,Bulgaria,"0.097333"
Radomir,Bulgaria,"0.061333"
Rakitovo,Bulgaria,"0.026000"
Rakovnik,"Czech Republic","0.006000"
Rakovski,Bulgaria,"0.054667"
Randers,Denmark,"0.018000"
Rankweil,Austria,"0.018000"
Razgrad,Bulgaria,"0.004667"
Razlog,Bulgaria,"0.020667"
Reading,"United Kingdom","0.093333"
Ribe,Denmark,"0.011333"
"Ried im Innkreis",Austria,"0.000000"
Rijeka,Croatia,"0.012667"
Rijswijk,Netherlands,"0.294000"
Ringkobing,Denmark,"0.007333"
Ringsted,Denmark,"0.024000"
Rizokarpaso,Cyprus,"0.006000"
Rochdale,"United Kingdom","0.175333"
Rodovre,Denmark,"0.220667"
Roeselare,Belgium,"0.094667"
Ronne,Denmark,"0.010000"
Ronse,Belgium,"0.030000"
Roosendaal,Netherlands,"0.066667"
Roskilde,Denmark,"0.054000"
Rotherham,"United Kingdom","0.281333"
Rotterdam,Netherlands,"0.322667"
Rovinj,Croatia,"0.001333"
"Roznov pod Radhostem","Czech Republic","0.019333"
Rum,Austria,"0.005333"
Ruse,Bulgaria,"0.024667"
"Saalfelden am Steinernen Meer",Austria,"0.001333"
Saeby,Denmark,"0.016667"
"Saint Albans","United Kingdom","0.179333"
"Saint Helens","United Kingdom","0.214667"
"Saint-Ghislain",Belgium,"0.036667"
"Saint-Nicolas",Belgium,"0.114667"
Salzburg,Austria,"0.016667"
Samobor,Croatia,"0.012667"
Samokov,Bulgaria,"0.022000"
Sandanski,Bulgaria,"0.013333"
"Sankt Andra",Austria,"0.001333"
"Sankt Johann im Pongau",Austria,"0.005333"
"Sankt Polten",Austria,"0.004667"
"Sankt Valentin",Austria,"0.020667"
"Sankt Veit an der Glan",Austria,"0.006000"
Schiedam,Netherlands,"0.338667"
Schoten,Belgium,"0.152667"
Schwaz,Austria,"0.004000"
Schwechat,Austria,"0.165333"
"Seekirchen Markt",Austria,"0.004667"
Senj,Croatia,"0.000000"
Septemvri,Bulgaria,"0.043333"
Seraing,Belgium,"0.074667"
Sesvete,Croatia,"0.046667"
Sevlievo,Bulgaria,"0.002667"
Sheffield,"United Kingdom","0.344667"
Shumen,Bulgaria,"0.011333"
Sibenik,Croatia,"0.001333"
Sierning,Austria,"0.016000"
Silistra,Bulgaria,"0.006667"
Silkeborg,Denmark,"0.007333"
Simeonovgrad,Bulgaria,"0.080000"
Sinj,Croatia,"0.000000"
"Sint-Niklaas",Belgium,"0.085333"
"Sint-Pieters-Leeuw",Belgium,"0.146667"
"Sint-Truiden",Belgium,"0.048000"
Sisak,Croatia,"0.002667"
Sittard,Netherlands,"0.156667"
Skagen,Denmark,"0.010000"
Skanderborg,Denmark,"0.005333"
Skive,Denmark,"0.011333"
Slagelse,Denmark,"0.016667"
Slatina,Croatia,"0.002667"
"Slavonski Brod",Croatia,"0.010000"
Sliven,Bulgaria,"0.038000"
Slivnitsa,Bulgaria,"0.029333"
Slough,"United Kingdom","0.382667"
Smolyan,Bulgaria,"0.010667"
Smorumnedre,Denmark,"0.148667"
Sofia,Bulgaria,"0.194667"
Soignies,Belgium,"0.052667"
Sokolov,"Czech Republic","0.034667"
Solihull,"United Kingdom","0.314000"
Solin,Croatia,"0.002667"
"Solrod Strand",Denmark,"0.168000"
Sonderborg,Denmark,"0.005333"
Soro,Denmark,"0.007333"
Sotira,Cyprus,"0.068667"
"South Shields","United Kingdom","0.261333"
Southampton,"United Kingdom","0.164000"
"Southend-on-Sea","United Kingdom","0.119333"
Southport,"United Kingdom","0.072000"
Spijkenisse,Netherlands,"0.225333"
"Spittal an der Drau",Austria,"0.004667"
Split,Croatia,"0.004667"
Sracinec,Croatia,"0.004000"
Sredets,Bulgaria,"0.026667"
Stamboliyski,Bulgaria,"0.043333"
"Stara Zagora",Bulgaria,"0.052667"
"Stary Bohumin","Czech Republic","0.068000"
Stenlose,Denmark,"0.140667"
Stevenage,"United Kingdom","0.134667"
Steyr,Austria,"0.023333"
Stobrec,Croatia,"0.002667"
Stockerau,Austria,"0.029333"
Stockport,"United Kingdom","0.326667"
"Stockton-on-Tees","United Kingdom","0.164667"
"Stoke-on-Trent","United Kingdom","0.099333"
Strakonice,"Czech Republic","0.010667"
Struer,Denmark,"0.010000"
Sumperk,"Czech Republic","0.008667"
Sunderland,"United Kingdom","0.181333"
"Sutton Coldfield","United Kingdom","0.348000"
Svendborg,Denmark,"0.024000"
Svilengrad,Bulgaria,"0.022667"
Svishtov,Bulgaria,"0.004667"
Svitavy,"Czech Republic","0.014667"
Svoge,Bulgaria,"0.003333"
Swansea,"United Kingdom","0.080667"
Swindon,"United Kingdom","0.073333"
Taastrup,Denmark,"0.132000"
Tabor,"Czech Republic","0.011333"
Tala,Cyprus,"0.056000"
Tarnby,Denmark,"0.186000"
Telfs,Austria,"0.004000"
Temse,Belgium,"0.194000"
Tenja,Croatia,"0.000000"
Teplice,"Czech Republic","0.026667"
Ternitz,Austria,"0.006000"
Tersephanou,Cyprus,"0.081333"
Teteven,Bulgaria,"0.001333"
"The Hague",Netherlands,"0.178667"
